time,positionX,positionY
329.01,109.51,23.7929
330.001,109.51,23.7929
331.002,109.511,23.7929
332.003,109.511,23.7928
333.004,109.511,23.7928
334.005,109.512,23.7929
335.006,109.512,23.7929
336.007,109.512,23.7929
337.008,109.512,23.7929
338.009,109.512,23.7929
339.01,109.512,23.7929
340.001,109.512,23.7929
341.001,109.512,23.7929
342.002,109.512,23.7929
343.003,109.512,23.7929
344.004,109.512,23.7929
345.005,109.512,23.7929
346.006,109.512,23.7929
347.007,109.512,23.7929
348.008,109.512,23.7929
349.009,109.513,23.7929
350,109.513,23.7929
351.001,109.513,23.7929
352.002,109.513,23.7929
353.003,109.513,23.7929
354.004,109.513,23.7929
355.005,109.513,23.7929
356.006,109.513,23.7929
357.007,109.514,23.793
358.008,109.514,23.793
359.009,109.516,23.793
360,109.516,23.793
361.001,109.516,23.793
362.002,109.517,23.7931
363.003,109.519,23.7931
364.004,109.519,23.7932
365.005,109.519,23.7932
366.006,109.519,23.7932
367.007,109.519,23.7932
368.008,109.519,23.7932
369.009,109.521,23.7932
370.01,109.521,23.7932
371.001,109.521,23.7932
372.002,109.521,23.7932
373.003,109.521,23.7931
374.004,109.521,23.7931
375.005,109.522,23.7931
376.006,109.522,23.7931
377.007,109.522,23.7931
378.008,109.523,23.7931
379.009,109.523,23.7931
380.01,109.523,23.7932
381.001,109.524,23.7932
382.001,109.524,23.7932
383.002,109.524,23.7932
384.003,109.524,23.7932
385.004,109.525,23.7932
386.005,109.527,23.7932
387.006,109.527,23.7932
388.007,109.527,23.7931
389.008,109.527,23.7932
390.009,109.527,23.7932
391,109.528,23.7932
392.001,109.528,23.7932
393.002,109.528,23.7932
394.003,109.528,23.7932
395.004,109.529,23.7932
396.005,109.529,23.7932
397.006,109.529,23.7932
398.007,109.529,23.7932
399.008,109.529,23.7932
400.009,109.53,23.7932
401,109.531,23.7933
402.001,109.531,23.7933
403.002,109.531,23.7933
404.003,109.531,23.7933
405.004,109.532,23.7933
406.005,109.532,23.7933
407.006,109.532,23.7933
408.007,109.532,23.7933
409.008,109.532,23.7933
410.009,109.532,23.7933
411.01,109.532,23.7933
412.001,109.532,23.7933
413.002,109.532,23.7933
414.003,109.532,23.7933
415.004,109.532,23.7933
416.005,109.532,23.7933
417.006,109.532,23.7933
418.007,109.532,23.7933
419.008,109.533,23.7933
420.009,109.533,23.7933
421.01,109.533,23.7933
422.001,109.533,23.7933
423.001,109.533,23.7933
424.002,109.533,23.7933
425.003,109.533,23.7933
426.004,109.533,23.7933
427.005,109.533,23.7933
428.006,109.533,23.7933
429.007,109.534,23.7933
430.008,109.534,23.7933
431.009,109.534,23.7933
432,109.534,23.7933
433.001,109.534,23.7933
434.002,109.534,23.7933
435.003,109.534,23.7933
436.004,109.534,23.7933
437.005,109.534,23.7933
438.006,109.534,23.7933
439.007,109.535,23.7933
440.008,109.535,23.7933
441.009,109.535,23.7933
442,109.535,23.7933
443.001,109.535,23.7933
